id,identifier,species_id,height,weight,base_experience,order,is_default
738,vikavolt,738,15,450,225,863,1
739,crabrawler,739,6,70,68,865,1
740,crabominable,740,17,1800,167,866,1
741,oricorio-baile,741,6,34,167,867,1
742,cutiefly,742,1,2,61,871,1
743,ribombee,743,2,5,162,872,1
744,rockruff,744,5,92,56,874,1
745,lycanroc-midday,745,8,250,170,876,1
746,wishiwashi-solo,746,2,3,61,879,1
747,mareanie,747,4,80,61,881,1
748,toxapex,748,7,145,173,882,1
749,mudbray,749,10,1100,77,883,1
750,mudsdale,750,25,9200,175,884,1
751,dewpider,751,3,40,54,885,1
752,araquanid,752,18,820,159,886,1
753,fomantis,753,3,15,50,888,1
754,lurantis,754,9,185,168,889,1
755,morelull,755,2,15,57,891,1
756,shiinotic,756,10,115,142,892,1
757,salandit,757,6,48,64,893,1
758,salazzle,758,12,222,168,894,1
759,stufful,759,5,68,68,896,1
760,bewear,760,21,1350,175,897,1
761,bounsweet,761,3,32,42,898,1
762,steenee,762,7,82,102,899,1
763,tsareena,763,12,214,230,900,1
764,comfey,764,1,3,170,901,1
765,oranguru,765,15,760,172,902,1
766,passimian,766,20,828,172,903,1
767,wimpod,767,5,120,46,904,1
768,golisopod,768,20,1080,186,905,1
769,sandygast,769,5,700,64,906,1
770,palossand,770,13,2500,168,907,1
771,pyukumuku,771,3,12,144,908,1
772,type-null,772,19,1205,107,909,1
773,silvally,773,23,1005,257,910,1
774,minior-red-meteor,774,3,400,154,911,1
775,komala,775,4,199,168,925,1
776,turtonator,776,20,2120,170,926,1
777,togedemaru,777,3,33,152,927,1
778,mimikyu-disguised,778,2,7,167,929,1
779,bruxish,779,9,190,166,933,1
780,drampa,780,30,1850,170,934,1
781,dhelmise,781,39,2100,181,935,1
782,jangmo-o,782,6,297,60,936,1
783,hakamo-o,783,12,470,147,937,1
784,kommo-o,784,16,782,270,938,1
785,tapu-koko,785,18,205,257,940,1
786,tapu-lele,786,12,186,257,941,1
787,tapu-bulu,787,19,455,257,942,1
788,tapu-fini,788,13,212,257,943,1
789,cosmog,789,2,1,40,944,1
790,cosmoem,790,1,9999,140,945,1
791,solgaleo,791,34,2300,306,946,1
792,lunala,792,40,1200,306,947,1
793,nihilego,793,12,555,257,948,1
794,buzzwole,794,24,3336,257,949,1
795,pheromosa,795,18,250,257,950,1
796,xurkitree,796,38,1000,257,951,1
797,celesteela,797,92,9999,257,952,1
798,kartana,798,3,1,257,953,1
799,guzzlord,799,55,8880,257,954,1
800,necrozma,800,24,2300,270,955,1
801,magearna,801,10,805,270,959,1
802,marshadow,802,7,222,270,961,1
803,poipole,803,6,18,189,962,1
804,naganadel,804,36,1500,243,963,1
805,stakataka,805,55,8200,257,964,1
806,blacephalon,806,18,130,257,965,1
807,zeraora,807,15,445,270,966,1
808,meltan,808,2,80,135,967,1
809,melmetal,809,25,8000,270,968,1
10001,deoxys-attack,386,17,608,270,499,0
10002,deoxys-defense,386,17,608,270,500,0
10003,deoxys-speed,386,17,608,270,501,0
10004,wormadam-sandy,413,5,65,148,527,0
10005,wormadam-trash,413,5,65,148,528,0
10006,shaymin-sky,492,4,52,270,591,0
10007,giratina-origin,487,69,6500,306,585,0
10008,rotom-heat,479,3,3,182,572,0
10009,rotom-wash,479,3,3,182,573,0
10010,rotom-frost,479,3,3,182,574,0
10011,rotom-fan,479,3,3,182,575,0
10012,rotom-mow,479,3,3,182,576,0
10013,castform-sunny,351,3,8,147,449,0
10014,castform-rainy,351,3,8,147,450,0
10015,castform-snowy,351,3,8,147,451,0
10016,basculin-blue-striped,550,10,180,161,651,0
10017,darmanitan-zen,555,13,929,189,657,0
10018,meloetta-pirouette,648,6,65,270,757,0
10019,tornadus-therian,641,14,630,261,744,0
10020,thundurus-therian,642,30,610,261,746,0
10021,landorus-therian,645,13,680,270,750,0
10022,kyurem-black,646,33,3250,315,753,0
10023,kyurem-white,646,36,3250,315,752,0
10024,keldeo-resolute,647,14,485,261,755,0
10025,meowstic-female,678,6,85,163,791,0
10026,aegislash-blade,681,17,530,234,795,0
10027,pumpkaboo-small,710,3,35,67,824,0
10028,pumpkaboo-large,710,5,75,67,825,0
10029,pumpkaboo-super,710,8,150,67,826,0
10030,gourgeist-small,711,7,95,173,828,0
10031,gourgeist-large,711,11,140,173,829,0
10032,gourgeist-super,711,17,390,173,830,0
10033,venusaur-mega,3,24,1555,281,4,0
10034,charizard-mega-x,6,17,1105,285,8,0
10035,charizard-mega-y,6,17,1005,285,9,0
10036,blastoise-mega,9,16,1011,284,13,0
10037,alakazam-mega,65,12,480,270,104,0
10038,gengar-mega,94,14,405,270,142,0
10039,kangaskhan-mega,115,22,1000,207,176,0
10040,pinsir-mega,127,17,590,210,198,0
10041,gyarados-mega,130,65,3050,224,202,0
10042,aerodactyl-mega,142,21,790,215,223,0
10043,mewtwo-mega-x,150,23,1270,351,233,0
10044,mewtwo-mega-y,150,15,330,351,234,0
10045,ampharos-mega,181,14,615,275,263,0
10046,scizor-mega,212,20,1250,210,188,0
10047,heracross-mega,214,17,625,210,298,0
10048,houndoom-mega,229,19,495,210,317,0
10049,tyranitar-mega,248,25,2550,315,329,0
10050,blaziken-mega,257,19,520,284,340,0
10051,gardevoir-mega,282,16,484,278,367,0
10052,mawile-mega,303,10,235,168,392,0
10053,aggron-mega,306,22,3950,284,396,0
10054,medicham-mega,308,13,315,179,399,0
10055,manectric-mega,310,18,440,201,402,0
10056,banette-mega,354,12,130,194,455,0
10057,absol-mega,359,12,490,198,463,0
10058,garchomp-mega,445,19,950,315,555,0
10059,lucario-mega,448,13,575,219,558,0
10060,abomasnow-mega,460,27,1850,208,570,0
10061,floette-eternal,670,2,9,243,782,0
10062,latias-mega,380,18,520,315,488,0
10063,latios-mega,381,23,700,315,490,0
10064,swampert-mega,260,19,1020,286,344,0
10065,sceptile-mega,254,19,552,284,336,0
10066,sableye-mega,302,5,1610,168,390,0
10067,altaria-mega,334,15,206,207,431,0
10068,gallade-mega,475,16,564,278,369,0
10069,audino-mega,531,15,320,425,631,0
10070,sharpedo-mega,319,25,1303,196,414,0
10071,slowbro-mega,80,20,1200,207,123,0
10072,steelix-mega,208,105,7400,214,145,0
10073,pidgeot-mega,18,22,505,261,24,0
10074,glalie-mega,362,21,3502,203,466,0
10075,diancie-mega,719,11,278,315,842,0
10076,metagross-mega,376,25,9429,315,483,0
10077,kyogre-primal,382,98,4300,347,492,0
10078,groudon-primal,383,50,9997,347,494,0
10079,rayquaza-mega,384,108,3920,351,496,0
10080,pikachu-rock-star,25,4,60,112,37,0
10081,pikachu-belle,25,4,60,112,38,0
10082,pikachu-pop-star,25,4,60,112,39,0
10083,pikachu-phd,25,4,60,112,40,0
10084,pikachu-libre,25,4,60,112,41,0
10085,pikachu-cosplay,25,4,60,112,36,0
10086,hoopa-unbound,720,65,4900,306,844,0
10087,camerupt-mega,323,25,3205,196,419,0
10088,lopunny-mega,428,13,283,203,543,0
10089,salamence-mega,373,18,1126,315,479,0
10090,beedrill-mega,15,14,405,223,20,0
10091,rattata-alola,19,3,38,51,26,0
10092,raticate-alola,20,7,255,145,28,0
10093,raticate-totem-alola,20,14,1050,145,29,0
10094,pikachu-original-cap,25,4,60,112,42,0
10095,pikachu-hoenn-cap,25,4,60,112,43,0
10096,pikachu-sinnoh-cap,25,4,60,112,44,0
10097,pikachu-unova-cap,25,4,60,112,45,0
10098,pikachu-kalos-cap,25,4,60,112,46,0
10099,pikachu-alola-cap,25,4,60,112,47,0
10100,raichu-alola,26,7,210,170,51,0
10101,sandshrew-alola,27,7,400,60,53,0
10102,sandslash-alola,28,12,550,158,55,0
10103,vulpix-alola,37,6,99,60,66,0
10104,ninetales-alola,38,11,199,177,68,0
10105,diglett-alola,50,2,10,53,84,0
10106,dugtrio-alola,51,7,666,149,86,0
10107,meowth-alola,52,4,42,58,88,0
10108,persian-alola,53,11,330,154,90,0
10109,geodude-alola,74,4,203,60,114,0
10110,graveler-alola,75,10,1100,137,116,0
10111,golem-alola,76,17,3160,223,118,0
10112,grimer-alola,88,7,420,65,134,0
10113,muk-alola,89,10,520,175,136,0
10114,exeggutor-alola,103,109,4156,186,154,0
10115,marowak-alola,105,10,340,149,157,0
10116,greninja-battle-bond,658,15,400,239,768,0
10117,greninja-ash,658,15,400,288,769,0
10118,zygarde-10,718,12,335,219,838,0
10119,zygarde-50,718,50,3050,270,839,0
10120,zygarde-complete,718,45,6100,319,840,0
10121,gumshoos-totem,735,14,600,146,860,0
10122,vikavolt-totem,738,26,1475,225,864,0
10123,oricorio-pom-pom,741,6,34,167,868,0
10124,oricorio-pau,741,6,34,167,869,0
10125,oricorio-sensu,741,6,34,167,870,0
10126,lycanroc-midnight,745,11,250,170,877,0
10127,wishiwashi-school,746,82,786,217,880,0
10128,lurantis-totem,754,15,580,168,890,0
10129,salazzle-totem,758,21,810,168,895,0
10130,minior-orange-meteor,774,3,400,154,912,0
10131,minior-yellow-meteor,774,3,400,154,913,0
10132,minior-green-meteor,774,3,400,154,914,0
10133,minior-blue-meteor,774,3,400,154,915,0
10134,minior-indigo-meteor,774,3,400,154,916,0
10135,minior-violet-meteor,774,3,400,154,917,0
10136,minior-red,774,3,3,175,918,0
10137,minior-orange,774,3,3,175,919,0
10138,minior-yellow,774,3,3,175,920,0
10139,minior-green,774,3,3,175,921,0
10140,minior-blue,774,3,3,175,922,0
10141,minior-indigo,774,3,3,175,923,0
10142,minior-violet,774,3,3,175,924,0
10143,mimikyu-busted,778,2,7,167,930,0
10144,mimikyu-totem-disguised,778,4,28,167,931,0
10145,mimikyu-totem-busted,778,4,28,167,932,0
10146,kommo-o-totem,784,24,2075,270,939,0
10147,magearna-original,801,10,805,270,960,0
10148,pikachu-partner-cap,25,4,60,112,48,0
10149,marowak-totem,105,17,980,149,158,0
10150,ribombee-totem,743,4,20,162,873,0
10151,rockruff-own-tempo,744,5,92,56,875,0
10152,lycanroc-dusk,745,8,250,170,878,0
10153,araquanid-totem,752,31,2175,159,887,0
10154,togedemaru-totem,777,6,130,152,928,0
10155,necrozma-dusk,800,38,4600,306,956,0
10156,necrozma-dawn,800,42,3500,306,957,0
10157,necrozma-ultra,800,75,2300,339,958,0
10158,pikachu-starter,25,4,60,86,49,0
10159,eevee-starter,133,3,65,87,206,0
